詞目id,義項id,詞性,解說
,,數詞,數目。
,,形容詞,全部的、整個的。
,,副詞,表示時間短、數量少、程度輕等。
,,數詞,數字。
,,形容詞,極、最、第一的。
,,形容詞,相同的。
,,副詞,整個地、全部地。
,,熟語,一刀斬成兩段，比喻斷絕關係。
,,,動詞後綴。表示極短的時間或是短時間的動作。
,,副詞,表示兩個動作間的連續狀況，相當於華語「一……就……」。
,,助詞,連接動詞及補語，相當於華語「得」。
,,時間詞,一個月。
,,熟語,一天到晚、從早到晚，整天。
,,名詞,一輩子。
,,名詞,二分之一。
,,形容詞,表示次數很少。
,,名詞,幾個、一兩個、少數幾個。
,,熟語,一兩天。
,,副詞,遍地、到處。
,,副詞,假使有一天。
,,名詞,短暫的時間。
,,名詞,畢生、一輩子。
,,時間詞,一瞬間、一眨眼。指很短暫的時間。
,,時間詞,六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。
,,數詞,一百零一。
,,副詞,首先。
,,副詞,必定、必然。
,,形容詞,固定的。
,,副詞,朝同一個方向直行而去。
,,副詞,持續不間斷。
,,副詞,全部都一樣。
,,形容詞,趨向相同。
,,副詞,描述兩種以上的事情同時進行著。
,,形容詞,片面的，單方面的。
,,名詞,一坨屎、一坨大便。
,,形容詞,一點點。形容體積很小或數量很少。
,,名詞,一家子。全家人、同一家人。
,,形容詞,普遍性的、平常的。
,,形容詞,最好的、第一流的。
,,形容詞,最投契的。
,,副詞,一陣子、一會兒。
,,副詞,一口氣。
,,副詞,一律、完全。
,,名詞,沿途、路上。 
,,形容詞,一些、少許，也可以單說「寡」(--kuá)。
,,形容詞,一點點、一些些。
,,時間詞,一晝夜、二十四小時。
,,副詞,一瞬間、一下子。形容很短的時間。
,,形容詞,一點兒、一 點點。形容數量極少。
,,名詞,一糞坑的大便。
,,形容詞,形容一群無用的人或東西。
,,時間詞,一會兒、一下子。
,,名詞,天干的第二位。
,,形容詞,次序或等級屬於第二的。
,,名詞,天干的第四位，也指排序或等級為第四。
,,名詞,男子。
,,名詞,姓氏。
,,數詞,數字。
,,形容詞,常和八連用成為詞組，用來表示強調或重複的意思。
,,名詞,傳統喪禮儀式中每七天為一旬。一、三、五、七旬為大旬，必須請道士做法會，稱作「做七」(tsò-tshit)或是「做旬」(tsò-sûn)，到七旬結束才算功德圓滿。
,,數詞,數字。
,,形容詞,形容多數。
,,數詞,數字。
,,形容詞,形容多數。
,,動詞,表示動作結束、完畢。或是表示動作的時間狀況。
,,動詞,明白。
,,動詞,白費。
,,動詞,賠錢、損失。
,,助詞,用於動詞及補語間，表示動作得到補語的結果。
,,數詞,數字。 
,,名詞,具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。
,,形容詞,與人有關的。
,,名詞,具有某種身份或特徵的人。
,,名詞,具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。
,,名詞,人家、別人。
,,名詞,具有某種身份或特徵的人。
,,代詞,借稱自己。
,,名詞,與人有關的事，如人的品格、個性、身體狀況等。
,,動詞,進。從外面進到裡面。
,,動詞,裝進。
,,動詞,收進帳款。
,,數詞,數字。
,,數詞,數字。
,,名詞,供切、削、剪、刻、割、斬等用途的工具。
,,量詞,計算切割次數的單位。
,,量詞,計算紙張的單位；通常一百張為一刀。
,,動詞,刁難、為難。
,,動詞,故意。
,,名詞,力量、氣力。
,,名詞,力量、氣力。
,,名詞,泛指一切事物所具有的效能或作用。
,,數詞,數目。
,,形容詞,比喻很多、完全。
,,數詞,數字。
,,形容詞,比喻完全、非常。
,,形容詞,像十的字形的。
,,動詞,試試看。
,,動詞,卜卦、占卜。
,,副詞,再、復。
,,名詞,單身漢。
,,副詞,光光、窮盡、完全沒有了。當作動詞補語。
,,形容詞,全都是。表示數量多或加強語氣。
,,名詞,每一個人。
,,形容詞,非常、很。用來形容程度極深。
,,名詞,十二生肖。即鼠、牛、虎、兔、龍、蛇、馬、羊、猴、雞、狗、豬。
,,名詞,各行各業。
,,名詞,小腸的上段部分，上接胃，下連空腸，長度大約是十二個指頭長，形狀為Ｃ形，是小腸最主要的吸收養分的地方。
,,名詞,除夕、大年夜。
,,名詞,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。
,,形容詞,十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。
,,名詞,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。
,,動詞,白費工夫。
,,名詞,人力、人手。人的勞動力或是指可以工作的人。
,,名詞,工資。從事工作所得的報酬。
,,名詞, 外表、儀容。
,,動詞,埋葬。將亡者的遺體葬入土中。
,,副詞,專程、特地。
,,副詞,故意。
,,名詞,人臉部鼻子下，嘴脣上方凹下部分。
,,名詞,七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。
,,名詞,貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。
