義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
,十全,完滿、齊全。完美無缺憾。,,欠點
,入門,進門。,,出門
,刁故意,存心、故意。,,無心
,上,指空間位置「下」的相反。,,下
,上,指空間位置「下」的相反。,,底
,下,指空間位置「上」的相反。,,上
,下,指空間位置「上」的相反。,,頂
,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,,小
,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,,細
,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,端莊
,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,端莊
,下勻,後輩、晚輩。,,頂沿
,小心,注意、留意。,,生猴
,上加,最多、頂多。,,上少
,上市,物品、股票等開始在市場上發售或買賣。,,落市
,大目,大眼睛。用來嘲諷人沒有看到近在眼前或目標明顯的東西。,,細目
,上任,就職。擔任職務。,,落任
,上任,就職。擔任職務。,,下台
,乞的,養子女。,,親的
,干焦,只有、僅僅。,,毋但
,上等,最高等級或最優異的品等。,,下等
,大範,一個人的舉止十分大方、自然，不受拘束。,,閉思
,上課,上學、學習。學生到學校讀書或接受老師的教導。,,放學
,上課,上學、學習。學生到學校讀書或接受老師的教導。,,下課
,口頭,指用言語表示，不是用文字或者行動來表明。,,書面
,上濟,至多、頂多。指在最壞的情況下。,,至少
,上濟,至多、頂多。指在最壞的情況下。,,上無
,下擺,下次、下回。,,頂回
,公,共同持有的、非私有的。,,私
,五仁,插科打諢。形容人行為滑稽、詼諧，逗人發笑。,,老古板
,中古,半新不舊。,,全新
,中立,不偏袒。,,私偏
,中立,不偏袒。,,偏私
,內行的,行家、專家。,,外行的
,內行的,行家、專家。,,外行人
,不法,不守法、違法。違反法律的意圖或者行為。,,守法
,內政,國家內部的政事。,,外務
,不時,隨時、經常。無論什麼時候。,,罕罕
,中意,合人心意。,,相棄嫌
,仁慈,和善、善良。慈悲，寬大慈善。,,兇惡
,升,由下而上。,,降
,歹人,壞人、惡人、歹徒。品性、行為不良的人。,,善人
,歹人,壞人、惡人、歹徒。品性、行為不良的人。,,好人
,戶口名,正名、本名。登記在戶口名簿上的名字，有別一般偏名。,,偏號
,歹代,壞事、惡事。,,好代誌
,歹代,壞事、壞消息。,,好代誌
,歹代,壞事、壞消息。,,好消息
,天光,天亮、破曉。,,天暗
,少年,年紀輕。,,年老
,歹扭搦,難搞、吹毛求疵。形容人的個性難以順服他人，很難照顧，對事物的要求多，容易找他人麻煩。,,好扭搦
,文言,用古漢語為基礎的書面語。相對於白話。,,白話
,毋拄好,搞不好、不湊巧。,,拄好
,歹物,壞人。,,好人
,歹食,不好吃、很難吃。,,好食
,日時仔,白天。,,暝時仔
,毋情願,不情不願。,,心甘情願
,歹睏,很難入睡。,,好睏
,手盤,手背。,,手掌
,歹講,難說。指事情狀況難以說明清楚或難以預料。,,好講
,歹聽,不體面、不光彩。,,好聽
,主,接待別人的人，與「賓客」相對。,,客
,充分,足夠，完全。,,不足
,去,從事某事。,,來
,去,離開。,,來
,古,過去久遠的時代。,,今
,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。,,內
,外人,沒有親屬關係的人。,,親人
,出口,某一場所專供人員外出的門戶。,,入口
,北爿,北邊。北方。,,南方
,出名,有名、著名。,,無名
,叫苦,呼喊所受的苦難。,,喝爽
,叫苦,呼喊所受的苦難。,,喝暢
,北部,指某一地的北方區域。,,南部
,出港,指船隻駛出港口。,,入港
,古意,忠厚、老實、憨厚。,,無老實
,包贏,一定勝利，穩操勝算。,,包輸
,包贏,一定勝利，穩操勝算。,,穩輸
,市內,城市的範圍以內。,,市外
,市內,城市的範圍以內。,,市郊
,市內,城市的範圍以內。,,野外
,正本,書籍或文件的原來的版本。,,影印本
,本地,居住在某地區的人自稱該地為「本地」。,,外地
,正身,正房。舊式合院房屋的中心建築部分，兩邊則為「護龍」。,,護廊
,民事,法律上指關於人民私權的事，如財產、婚姻等。,,刑事
,正門,大門。整個建築物的主要出入門戶。,,偏門
,失信,失約。不遵守諾言。,,守信
,失約,失信、違約。沒有按照原先約定去做。,,守約
,正面,身體五官的那一面、物體的外表或上層。,,後面
,正面,身體五官的那一面、物體的外表或上層。,,倒面
,正面,比喻富有教育性或積極的一面。,,負面
,平埔,平地、平野、平坦而空曠的原野。,,山地
,平常,形容一點也沒有值得奇怪或驚訝的地方。,,特殊
,幼貨,上等貨。指價值高、體積小、重量也較輕的物品。,,粗貨
,必然,確定不移。,,未必然
,正路,正當的途徑。引申為做好人，行好事。,,歪路
,幼齒,幼小、剛長出來的乳牙。,,粗牙
,幼齒,用來稱呼年幼的人、少女或是生手。,,老鳥
,民營化,為提升國家競爭力和事業經營效率，將國營事業轉變由民間出資經營。,,公營
,甘,甜美的、美好的。,,苦
,生,活著。,,死
,生,活著。,,死亡
,白話,明白易懂的口語，與文言相對。,,文言
,白賊話,謊話。,,老實話
,白賊話,謊話。,,實在話
,田僑仔,擁有許多田地，靠地價暴漲而致富的土財主。,,佃農
,先,前。時間或次序上比較前面。,,後
,光面,光滑的表面。,,花面
,光面,光滑的表面。,,粗面
,光復,失去再收回。,,陷落
,先進,指最進步，可成為學習、效仿對象的。,,落後
,合力,協力、共同出力。,,獨力
,同心,一心、齊心。同樣的意志、想法。,,各心
,囡仔兄,對小男孩的一種客氣的當面稱呼。,,囡仔姊
,刑事,行為觸犯刑法，或依其他法律應該處以刑罰的法律案件。相對於「民事」(bîn-sū)而言。,,民事
,同居,居住一處，共同生活在一起。法律上規定同居是夫妻間應盡的義務。,,分居
,向前,往前、向著前方。,,向後
,合奏,多種樂器聯合演奏。,,獨奏
,合唱,許多人齊聲歌唱。,,獨唱
,合理,符合道理。,,無理
,在野,本來指不在朝廷擔任官職，後來借指不作官、不當政。,,在朝
,在野,本來指不在朝廷擔任官職，後來借指不作官、不當政。,,執政
,危險,不安全。,,安全
,在額,定額。編制內、固定的職位。,,編制外的
,在額,定額。編制內、固定的職位。,,臨時的
,在欉黃,樹頭鮮。成熟度為八、九分以上才摘取下來的水果。它的味道比六、七分熟就摘取下來催熟的水果甜美。,,分熟的
,存心,心懷某種意念、居心。,,無心
,好彩頭,好預兆。,,歹彩頭
,好勢,好意思，常用在反詰的語氣。,,歹勢
,成,成為。,,毋成
,早,早上、清晨。,,暗
,早,不晚、不遲。,,晏
,曲,彎彎的。,,直
,有,表事實或狀況的正面存在，與「無」(bû)相對。,,無
,死人,死去的人。,,活人
,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,放人
,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,釋放
,扣押,法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,交保
,收拾,將散亂的東西收集整理、整頓好。,,拍散
,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,放人
,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,釋放
,扣留,扣押。法院以強制的力量拘留嫌疑犯或扣留證物、贓物。,,交保
,早起,早上、早晨。,,下午
,早起,早上、早晨。,,下晡
,有錢人,富有的人。,,散赤人
,有額,數量多而且足夠可用。,,無額
,西藥,西醫所用的藥品，通常多為合成方法製成。,,中藥
,西藥房,販賣西洋藥物的商店。,,中藥店
,別搭,別處。,,仝位
,序大,長輩。指輩份高，年紀大的人。,,晚輩
,扭掠,形容手腳快、動作敏捷。,,笨傖
